item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-752,stable,k8s:v1.21,k8s:sig-network,shipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,
k8s:kep-785,stable,k8s:v1.21,k8s:sig-scheduling,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,,
k8s:kep-85,stable,k8s:v1.21,k8s:sig-apps,shipped,2021-01-18T23:59:59+00:00,,,2021-01-18T23:59:59+00:00,,,
k8s:kep-859,alpha,k8s:v1.21,k8s:sig-cli,unresolved,,,,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00
k8s:kep-1122,stable,k8s:v1.22,k8s:sig-windows,shipped,2021-05-17T23:59:59+00:00,,,2021-05-17T23:59:59+00:00,,2021-05-17T23:59:59+00:00,2021-05-17T23:59:59+00:00
k8s:kep-1205,stable,k8s:v1.22,k8s:sig-auth,unresolved,2021-05-10T23:59:59+00:00,2021-06-28T23:59:59+00:00,,2021-05-10T23:59:59+00:00,,2021-05-10T23:59:59+00:00,2021-05-10T23:59:59+00:00
k8s:kep-1258,stable,k8s:v1.22,k8s:sig-scheduling,slipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-06-14T23:59:59+00:00,,,2021-05-24T23:59:59+00:00,
k8s:kep-1287,alpha,k8s:v1.22,k8s:sig-node,slipped,,,,2021-05-17T23:59:59+00:00,,2021-05-17T23:59:59+00:00,2021-05-17T23:59:59+00:00
k8s:kep-1432,beta,k8s:v1.22,k8s:sig-storage,slipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-06-14T23:59:59+00:00,,2021-04-26T23:59:59+00:00,2021-05-10T23:59:59+00:00,
k8s:kep-1435,stable,k8s:v1.22,k8s:sig-network,slipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-06-14T23:59:59+00:00,2021-04-26T23:59:59+00:00,,2021-04-26T23:59:59+00:00,
k8s:kep-1441,stable,k8s:v1.22,k8s:sig-cli,slipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-06-14T23:59:59+00:00,2021-04-26T23:59:59+00:00,,2021-05-17T23:59:59+00:00,
k8s:kep-1451,stable,k8s:v1.22,k8s:sig-scheduling,shipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-06-14T23:59:59+00:00,,2021-04-26T23:59:59+00:00,2021-05-24T23:59:59+00:00,
k8s:kep-1495,stable,k8s:v1.22,k8s:sig-storage,slipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,,2021-04-26T23:59:59+00:00,,2021-05-10T23:59:59+00:00,
k8s:kep-1539,stable,k8s:v1.22,k8s:sig-node,shipped,,,,2021-05-17T23:59:59+00:00,,2021-05-17T23:59:59+00:00,2021-05-17T23:59:59+00:00
k8s:kep-1591,beta,k8s:v1.22,k8s:sig-apps,shipped,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,,2021-04-26T23:59:59+00:00,2021-04-26T23:59:59+00:00,2021-05-17T23:59:59+00:00,
